,channel_id,text,date,word_count
0,1276529415,"ለሽያጭ የቀረበ የአያት መል ስቴት የሱቅ ሽያጭ ዋጋ 1 ኛ ላይ በካሬ 96,899 ብር 2ኛ ላይ በካሬ 94, 369 ብር 3 ኛ ላይ በካሬ 91,839 ብር መግዛት የሚቻለው የካሬ መጠን 1 ኛ ላይ 52 እና 53 ካሬ 2ኛ እና 3ኛ ላይ ከ20 ካሬ ጀምሮ እስከ 638 ካሬ ድረስ መግዛት ይችላሉ። የመጀመሪያ ክፍያ 25% ሲሆን ቀሪውን 75% በ 1 ኣመት ተኩል ከፍለው ይጨርሳሉ። የሱቁን ቦታ ግን የመጀመሪያ ክፍያውን እንደከፈሉ በስምዎ ቦታውን ይደለደላሉ። የቅናሽ መጠን የመጀመሪያ ክፍያውን 60% እና ከዚያ በላይ ሲከፍሉ እንደሚከተለዉ ቅናሽ ያገኛሉ። ክፍያው 100% ከሆነ 25% 9አ% ከሆነ 23% 75% ከሆነ 19% 60 % ከሆነ 15% ቅናሽ ይኖሮታል። ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-09-08T18:13:21,106
1,1276529415,"የሚሸጥ ዘመናዊ G+2 ቤት በአሪፍ የተሰራ ቆንጆ ቤት ለመኖሪያ አመቺ ቦታ ሰፈር ሰሚት ጎሪግስ አካባቢ ስፋት 250 ካሬሜ ዋጋ 40,000,000 ሚሊዮን ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-08-17T06:10:52,28
2,1276529415,"የሚሸጥ በጣም ቆንጆ ዘመናዊ ቤት G+2 ዋና አስፓልት ዳር ቲ/ላይ በአስፓልት ያለዉ ለቢዝነስና ለአፓርታማ የተሰራ ባለ 2 መኝታ 2 አባወራ ባለ 1 መኝታ 2 አባወራ አለ በኮንፓዉድ ዉስጥ ያለዉ ቆንጆ መኖሪያ ቤት ነዉ ሰፈር አያት ስፋት 440 ካሬሜ ዋጋ 75,000,000 ሚሊዮን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-09-17T09:42:42,49
3,1276529415,"የሚሸጥ ለ አፓሪትሜንት የተሰራ G+5 አሁን በአለበት ደረጃ ይሸጣል ። ለቲሪፍ የሚሆን ቤት ነዉ ሰፈር ሳሚት አካባቢ ስፋት 864 ካሬሜ ቤቱ ያረፈበት 792 ካሬሜ ዋጋ 80,000,000 ሚሊዮን ይባላል በባንክ አይሸጥም በካሺ ብቻ ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-09-21T11:19:49,39
4,1276529415,"የሚካራይ ጋስታዉስ ባለ 2 መኝታ በጣም ቆንጆ ዘመናዊ ቤት ሰፈር አያት ኖህ ሪል ስቴት ዉስጥ ዋጋ 50,000 ሺህ ብር ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-09-05T14:55:35,26
5,1276529415,እንኳን ለ 2015 ኣም አዲሱ አመት በሰላም አደረሰን አደረሳችሁ መጪው ዘመን የሰላም የፍቅር የአብሮነት የስኬት የመፅናናት የእውቀት የማስተዋልና የደስታ እና የስኬት ዘመን ይሁንልን ። መልካም አዲስ ኣመት!,2022-09-10T20:41:25,27
6,1276529415,የሚሸጥ ዘመናዊ ቤት B+G+2 ለመኖሪያ አመቺ ቦታ ( ኮንፓዉንድ ዉስጥ ነዉ ) ሰፈር አያት አካባቢ ስፋት 250 ካሬሜ 2 ሳሎን 2 ኪችን 8 መኝታ 6 መታጠቢያ 3 መኪና የሚያቆም ዋጋ 45 ሚሊየን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡,2022-10-02T09:12:00,40
7,1276529415,የሚሸጥ ዘመናዊ G+3 ቤት ለመኖሪያ አመቺ ቦታ ኮፓዉንድ ዉስጥ ሰፈር አያት ዞን8 አከባቢ ስፋት 200 ካሬሜ ዋጋ 32 ሚሊዮን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡,2022-09-17T09:05:20,27
8,1276529415,"በአስቸኳይ የሚሸጥ ዘመናዊ G+2 ቤት ለመኖሪያ በደንብ የተሰራ አዲስ ቤት የተጠቃሙበት ማተሪያል በጣም ኳሊት የሆነ ቆንጆ የተሰራ ነዉ። ሰፈር አያት አካባቢ ስፋት 250 ካሬሜ ዋጋ 35,000,000 ሚሊየን ይባላል የሊዝ 3,000,000 ሚ አለበት ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን ለበለጠ መረጃ፡",2022-11-01T02:40:13,39
9,1276529415,"የሚሸጥ ዘመናዊ B+G+2 ቤት ለመኖሪያ አመቺ ቦታ ከአስፓልት 50 ሜትር ብቻ የገባ (ኮንፓዉንድ ዉስጥ) ሰፈር አያት አከባቢ ስፋት 250 ካሬሜ ዋጋ 40,000,000 ሚሊየን ይባላል ‍ ዉድ ደንበኞቻችን ስለመረጣቹን እናመሰግናለን! ለበለጠ መረጃ፡",2022-12-15T12:28:19,31
